# Created by CS-Studio Data Browser
# 
# Start Time : 2022-02-03 10:24:24.852
# End Time   : 2022-02-26 14:19:50.934
# Source     : Optimized Archived Data
# Desired Value Count: 10000.0
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: HAD:STS:GAS:measure0
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure1
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure2
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure3
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure4
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure5
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 

# Time	HAD:STS:GAS:measure0 Value	HAD:STS:GAS:measure1 Value	HAD:STS:GAS:measure2 Value	HAD:STS:GAS:measure3 Value	HAD:STS:GAS:measure4 Value	HAD:STS:GAS:measure5 Value
2022-02-04 00:45:00.000	370.47	41.31	199.99	200.00	2.00	2.00
2022-02-04 00:48:20.000	385.87	42.90	200.02	200.00	2.00	2.00
2022-02-04 00:51:40.000	368.78	40.72	199.99	200.01	2.00	2.00
2022-02-04 00:55:00.000	369.80	41.09	200.00	200.01	2.00	2.00
2022-02-04 00:58:20.000	373.82	41.69	199.99	200.00	2.00	2.00
2022-02-04 01:01:40.000	370.45	40.85	200.00	200.00	2.00	2.00
2022-02-04 01:05:00.000	369.30	40.52	200.01	200.01	2.00	2.00
2022-02-04 01:08:20.000	370.06	41.28	200.00	200.00	2.00	2.00
2022-02-04 01:11:40.000	367.88	40.89	200.01	200.01	2.00	2.00
2022-02-04 01:15:00.000	382.80	42.09	200.00	200.02	2.00	2.00
2022-02-04 01:18:20.000	375.86	42.02	200.01	200.01	2.00	2.00
2022-02-04 01:21:40.000	375.09	41.91	200.02	199.98	2.00	2.00
2022-02-04 01:25:00.000	370.25	41.01	200.00	200.00	2.00	2.00
2022-02-04 01:28:20.000	376.18	41.97	200.03	200.02	2.00	2.00
2022-02-04 01:31:40.000	363.12	40.47	200.01	200.01	2.00	2.00
2022-02-04 01:35:00.000	381.62	42.19	200.00	199.99	2.00	2.00
2022-02-04 01:38:20.000	355.52	39.34	199.98	200.00	2.00	2.00
2022-02-04 01:41:40.000	372.90	41.71	200.01	200.00	2.00	2.00
2022-02-04 01:45:00.000	357.72	39.53	200.01	200.00	2.00	2.00
2022-02-04 01:48:20.000	370.13	41.10	199.97	199.99	2.00	2.00
2022-02-04 01:51:40.000	362.96	40.67	200.00	200.00	2.00	2.00
2022-02-04 01:55:00.000	362.07	39.80	199.99	200.01	2.00	2.00
2022-02-04 01:58:20.000	375.14	41.77	200.03	200.01	2.00	2.00
2022-02-04 02:01:40.000	365.90	40.77	200.02	199.99	2.00	2.00
2022-02-04 02:05:00.000	366.97	40.76	199.99	199.99	2.00	2.00
2022-02-04 02:08:20.000	366.72	40.63	200.00	200.00	2.00	2.00
2022-02-04 02:11:40.000	374.84	42.01	199.99	199.99	2.00	2.00
2022-02-04 02:15:00.000	379.46	42.23	200.03	199.99	2.00	2.00
2022-02-04 02:18:20.000	390.76	43.11	199.97	200.01	2.00	2.00
2022-02-04 02:21:40.000	371.58	41.71	200.02	200.00	2.00	2.00
2022-02-04 02:25:00.000	385.11	42.45	200.02	199.98	2.00	2.00
2022-02-04 02:28:20.000	365.85	40.48	200.01	200.00	2.00	2.00
2022-02-04 02:31:40.000	376.60	41.95	200.03	200.02	2.00	2.00
2022-02-04 02:35:00.000	367.44	40.91	200.00	200.00	2.00	2.00
2022-02-04 02:38:20.000	383.57	42.65	199.99	200.00	2.00	2.00
2022-02-04 02:41:40.000	370.44	41.37	199.98	200.00	2.00	2.00
